Name,Code,Region,Industry,is_alive,expiry_date
"NINGXIA YINGLITE CHEMICALS CO.,LTD",000635,NorthWest China,Manufacturing,1,
"GUANDDONG FENGHUA ADVANCED TECHNOLOGY (HOLDING) CO., LTD",000636,South China,Manufacturing,1,
"MAOMING PETRO-CHEMICAL SHIHUA CO.,LTD",000637,South China,Manufacturing,1,
"Vanfund Urban Investment?Development Co.,Ltd.",000638,NorthEast China,Information Technology,1,
"Xiwang Foodstuffs Co.,Ltd.",000639,East China,Manufacturing,1,
"RENHE PHARMACY CO.,LTD",000650,East China,Manufacturing,1,
"GREE ELECTRIC APPLIANCES,INC.OF ZHUHAI CO.,LTD",000651,South China,Manufacturing,1,
"Tianjin TEDA CO., Ltd.",000652,North China,Wholesale & Retail,1,
"SHANDONG JINLING MINING CO.,LTD",000655,East China,Mining,1,
"JINKE PROPERTY GROUP CO., LTD",000656,SouthWest China,Estate,1,
"CHINA TUNGSTEN AND HIGHTECH MATERALS CO.,LTD",000657,South China,Manufacturing,1,
"Xiamen Marine Industry (Group) Co.,Ltd.",000658,East China,Wholesale & Retail,0,2002-09
"ZHUHAI ZHONGFU ENTERPRISE CO.,LTD",000659,South China,Manufacturing,1,
"Guangzhou Datong Resource Development CO.,LTD.",000660,South China,Precious Metals,0,2004-09
Changchun High & New Technology Industry (Group) Inc.,000661,NorthEast China,Manufacturing,1,
TEAMAX SMART CITY TECHNOLOGY CORPORATION LIMITED,000662,South China,Information Technology,1,
"FUJIAN YONGAN FORESTRY (GROUP) JOINT-STOCK CO.,LTD",000663,East China,Manufacturing,1,
"Hubei Radio & Television Information Network Co., Ltd.",000665,Central China,Media,1,
"JINGWEI TEXTILE MACHINERY CO.,LTD.",000666,North China,Financial,1,
"Myhome Real Estate Development Group CO.,LTD.",000667,SouthWest China,Estate,1,
RONGFENG HOLDING GROUP CO.?LTD,000668,East China,Estate,1,
"Jinhong Holding Group Co., Ltd.",000669,NorthEast China,Utilities,1,
"Infotmic  co.,ltd.",000670,Central China,Manufacturing,1,
"Yango Group Co., Ltd",000671,East China,Estate,1,
"GANSU SHANGFENG CEMENT CO., LTD",000672,NorthWest China,Manufacturing,1,
"Lead Eastern Investment Co.,Ltd",000673,North China,Media,1,
"Sichuan Yinshan Chemical Industry(group)CO.,Ltd.",000675,SouthWest China,Chemical,0,2002-08
"Genimous Technology CO.,LTD",000676,South China,Information Technology,1,
"CHTC HELON CO.,LTD.",000677,East China,Manufacturing,1,
"XIANGYANG AUTOMOBILE BEARING Co., Ltd",000678,Central China,Manufacturing,1,
"DALIAN FRIENDSHIP (Group)Co.,Ltd.",000679,NorthEast China,Wholesale & Retail,1,
"SHANTUI CONSTRUCTION MACHINERY CO.,LTD",000680,East China,Manufacturing,1,
"VISUAL CHINA GROUP CO.,LTD.",000681,East China,Media,1,
"Dongfang Electronics Co.,Ltd",000682,East China,Information Technology,1,
INNER MONGOLIA YUAN XING ENERGY COMPANY LIMITED,000683,North China,Manufacturing,1,
"ZHONGSHAN PUBLIC UTILITIES Group CO.,LTD.",000685,South China,Utilities,1,
"NORTHEAST SECURITIES CO.,LTD.",000686,NorthEast China,Financial,1,
"Huaxun Fangzhou Co.,Ltd",000687,North China,Manufacturing,1,
"Guocheng Mining CO.,LTD",000688,SouthWest China,Mining,1,
"Shantou Hongye (Group) Co.,Ltd.",000689,SouthWest China,Chemical,0,2002-09
"GUANGDONG  BAOLIHUA  NEW  ENERGY  STOCK  CO., LTD.",000690,South China,Utilities,1,
HAINAN YATAI INDUSTRIAL DEVELOPMENT  CO.?LTD.,000691,NorthWest China,Manufacturing,1,
"SHENYANG HUITIAN THERMAL POWER CO.,LTD",000692,NorthEast China,Utilities,1,
"Chengdu Huaze Cobalt&nickel Material Co.,Ltd.",000693,SouthWest China,Precious Metals,0,2019-05
"TIANJIN BINHAI ENERGY & DEVELOPMENT CO.,LTD",000695,North China,Manufacturing,1,
"Ligeance Aerospace Technology Co.,Ltd.",000697,NorthWest China,Manufacturing,1,
"SHENYANG CHEMICAL INDUSTRY CO.,LTD",000698,NorthEast China,Manufacturing,1,
"Jiamusi Jindi Paper Co.,Ltd.",000699,NorthEast China,Manufacturing,0,2007-04
"JIANGNAN MOULD & PLASTIC TECHNOLOGY CO.,LTD",000700,East China,Manufacturing,1,
XIAMEN XINDECO LTD.,000701,East China,Wholesale & Retail,1,
"Hunan Zhenghong Science and Technology Develop Co., Ltd",000702,Central China,Manufacturing,1,
"HENGYI PETROCHEMICAL CO., LTD",000703,South China,Manufacturing,1,
"ZHEJIANG ZHENYUAN SHARE CO.,LTD.",000705,East China,Wholesale & Retail,1,
